teamId,gameId,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
326,401531877,"""texas-state-bobcats""","""Texas State""","""Bobcats""","""Texas St""","""TXST""","""Texas State Bobcats""","""Bobcats""",4e1719,b4975a
328,401531872,"""utah-state-aggies""","""Utah State""","""Aggies""","""Utah State""","""USU""","""Utah State Aggies""","""Aggies""",00263a,949ca1
330,401540661,"""virginia-state-trojans""","""Virginia State""","""Trojans""","""Virginia St""","""VIR""","""Virginia State Trojans""","""Trojans""",000000,
331,401540237,"""eastern-washington-eagles""","""Eastern Washington""","""Eagles""","""E Washington""","""EWU""","""Eastern Washington Eagles""","""Eagles""",a10022,abb4bc
332,401544107,"""muskingum-fighting-muskies""","""Muskingum""","""Fighting Muskies""","""Muskingum""","""MUS""","""Muskingum Fighting Muskies""","""Fighting Muskies""",000000,
333,401520250,"""alabama-crimson-tide""","""Alabama""","""Crimson Tide""","""Alabama""","""ALA""","""Alabama Crimson Tide""","""Crimson Tide""",9e1632,ffffff
336,401552018,"""wesleyan-university-ct-cardinals""","""Wesleyan University (CT)""","""Cardinals""","""Wesleyan (CT)""","""WCT""","""Wesleyan University (CT) Cardinals""","""Cardinals""",d72121,000000
338,401540535,"""kennesaw-state-owls""","""Kennesaw State""","""Owls""","""Kennesaw St""","""KENN""","""Kennesaw State Owls""","""Owls""",000000,fdbb30
340,401549714,"""bowdoin-polar-bears""","""Bowdoin""","""Polar Bears""","""Bowdoin""","""BOW""","""Bowdoin Polar Bears""","""Polar Bears""",ffffff,000000
341,401545746,"""frostburg-state-bobcats""","""Frostburg State""","""Bobcats""","""Frostburg St""","""FRO""","""Frostburg State Bobcats""","""Bobcats""",000000,
344,401520267,"""mississippi-state-bulldogs""","""Mississippi State""","""Bulldogs""","""Mississippi St""","""MSST""","""Mississippi State Bulldogs""","""Bulldogs""",762123,c8c8c8
348,401550302,"""hamilton-continentals""","""Hamilton""","""Continentals""","""Hamilton""","""HAM""","""Hamilton Continentals""","""Continentals""",062f87,d5b98b
349,401520268,"""army-black-knights""","""Army""","""Black Knights""","""Army""","""ARMY""","""Army Black Knights""","""Black Knights""",ce9c00,231f20
351,401544920,"""wingate-bulldogs""","""Wingate""","""Bulldogs""","""Wingate""","""WIN""","""Wingate Bulldogs""","""Bulldogs""",182441,c1b585
352,401541095,"""kenyon-owls""","""Kenyon""","""Owls""","""Kenyon""","""KEN""","""Kenyon Owls""","""Owls""",000000,
354,401544964,"""olivet-college-comets""","""Olivet College""","""Comets""","""Olivet College""","""OLI""","""Olivet College Comets""","""Comets""",000000,
356,401520255,"""illinois-fighting-illini""","""Illinois""","""Fighting Illini""","""Illinois""","""ILL""","""Illinois Fighting Illini""","""Fighting Illini""",ff5f05,13294b
359,401544098,"""otterbein-cardinals""","""Otterbein""","""Cardinals""","""Otterbein""","""OTT""","""Otterbein Cardinals""","""Cardinals""",000000,
365,401550051,"""alfred-saxons""","""Alfred""","""Saxons""","""Alfred""","""ALF""","""Alfred Saxons""","""Saxons""",000000,
366,401550325,"""ferrum-panthers""","""Ferrum""","""Panthers""","""Ferrum""","""FER""","""Ferrum Panthers""","""Panthers""",000000,c0a656
367,401541015,"""gannon-golden-knights""","""Gannon""","""Golden Knights""","""Gannon""","""GAN""","""Gannon Golden Knights""","""Golden Knights""",000000,
374,401552998,"""st-john-fisher-university-cardinals""","""St. John Fisher University""","""Cardinals""","""St. John Fisher""","""SJFU""","""St. John Fisher University Cardinals""","""Cardinals""",000000,
375,401550169,"""st-scholastica-saints""","""St. Scholastica""","""Saints""","""St. Scholastica""","""STS""","""St. Scholastica Saints""","""Saints""",000000,
379,401550133,"""umass-dartmouth-corsairs""","""UMASS Dartmouth""","""Corsairs""","""UMass Dart""","""UMDA""","""UMASS Dartmouth Corsairs""","""Corsairs""",000000,
386,401550349,"""trinity-university-tx-tigers""","""Trinity University (TX)""","""Tigers""","""Trinity (TX)""","""TRI""","""Trinity University (TX) Tigers""","""Tigers""",000000,
388,401553038,"""lebanon-valley-flying-dutchmen""","""Lebanon Valley""","""Flying Dutchmen""","""Lebanon Valley""","""LEB""","""Lebanon Valley Flying Dutchmen""","""Flying Dutchmen""",003767,ffffff
389,401540787,"""upper-iowa-peacocks""","""Upper Iowa""","""Peacocks""","""Upper Iowa""","""UPP""","""Upper Iowa Peacocks""","""Peacocks""",000000,
390,401544054,"""utica-pioneers""","""Utica""","""Pioneers""","""Utica""","""UTI""","""Utica Pioneers""","""Pioneers""",000000,
391,401550279,"""oberlin-yeomen""","""Oberlin""","""Yeomen""","""Oberlin""","""OBE""","""Oberlin Yeomen""","""Yeomen""",000000,
395,401540652,"""saint-augustines-falcons""","""Saint Augustine's""","""Falcons""","""St. Augustine's""","""STAU""","""Saint Augustine's Falcons""","""Falcons""",000000,
396,401544937,"""wheaton-thunder""","""Wheaton""","""Thunder""","""Wheaton""","""WHE""","""Wheaton Thunder""","""Thunder""",000000,
