gameId,homeTeamId,homeTeamName ,awayTeamId,awayTeamName,homeTeamScore,awayTeamScore
401520254,248,Houston Cougars,2534,Sam Houston Bearkats,38,7
401531436,,North Texas Mean Green,,Abilene Christian Wildcats,45,31
401525844,239,Baylor Bears,251,Texas Longhorns,6,38
401525847,2305,Kansas Jayhawks,252,BYU Cougars,38,27
401540207,,Southern Utah Thunderbirds,,Western Illinois Leathernecks,37,17
401524017,254,Utah Utes,26,UCLA Bruins,14,7
401549668,,Knox College Prairie Fire,,Lake Forest Foresters,0,50
401531872,328,Utah State Aggies,256,James Madison Dukes,38,45
401540573,,Stony Brook Seawolves,,Richmond Spiders,19,20
401525505,258,Virginia Cavaliers,152,NC State Wolfpack,21,24
