teamId,gameId,oddsExist,homeTeamId,awayTeamId,awayFavorite,homeFavorite,provider,favorite,underdog,spread,details,overUnder,awayMoneyLine,homeMoneyLine,awayspreadOdds,homespreadOdds,teamId2,gameId2,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
teamId_2790,401544074,False,,,,,NONE,,,,,,,,,,2790,401544074,albion-britons,Albion,Britons,Albion,ALBI,Albion Britons,Britons,000000,
teamId_2800,401544968,False,,,,,NONE,,,,,,,,,,2800,401544968,alma-college-scots,Alma College,Scots,Alma,ALM,Alma College Scots,Scots,000000,
teamId_2802,401541080,False,,,,,NONE,,,,,,,,,,2802,401541080,bethel-mn-royals,Bethel (MN),Royals,Bethel (MN),BET,Bethel (MN) Royals,Royals,002d62,b59859
teamId_2803,401540426,False,,,,,NONE,,,,,,,,,,2803,401540426,bryant-bulldogs,Bryant,Bulldogs,Bryant,BRY,Bryant Bulldogs,Bulldogs,000000,9f8343
teamId_2804,401541845,False,,,,,NONE,,,,,,,,,,2804,401541845,chowan-hawks,Chowan,Hawks,Chowan,CHO,Chowan Hawks,Hawks,000000,
teamId_2805,401547059,False,,,,,NONE,,,,,,,,,,2805,401547059,clark-atlanta-panthers,Clark Atlanta,Panthers,Clark Atl,CLA,Clark Atlanta Panthers,Panthers,000000,
teamId_2808,401553858,False,,,,,NONE,,,,,,,,,,2808,401553858,delaware-valley-aggies,Delaware Valley,Aggies,Del Valley,DEL,Delaware Valley Aggies,Aggies,004c23,e6b71b
teamId_2810,401547173,False,,,,,NONE,,,,,,,,,,2810,401547173,hardin-simmons-cowboys,Hardin-Simmons,Cowboys,Hardn-Simm,HAR,Hardin-Simmons Cowboys,Cowboys,5b2d83,fec52f
teamId_2812,401550148,False,,,,,NONE,,,,,,,,,,2812,401550148,hope-flying-dutchmen,Hope,Flying Dutchmen,Hope,HOP,Hope Flying Dutchmen,Flying Dutchmen,000000,
teamId_2815,401540496,False,,,,,NONE,,,,,,,,,,2815,401540496,lindenwood-lions,Lindenwood,Lions,Lindenwood,LIN,Lindenwood Lions,Lions,000000,
teamId_2816,401540715,False,,,,,NONE,,,,,,,,,,2816,401540715,mckendree-bearcats,McKendree,Bearcats,McKendree,MCK,McKendree Bearcats,Bearcats,000000,
teamId_2817,401545840,False,,,,,NONE,,,,,,,,,,2817,401545840,minnesota-state-moorhead-dragons,Minnesota State Moorhead,Dragons,Minn Moorhead,MNST,Minnesota State Moorhead Dragons,Dragons,000000,
teamId_2818,401550198,False,,,,,NONE,,,,,,,,,,2818,401550198,montclair-state-red-hawks,Montclair State,Red Hawks,Montclr St,MON,Montclair State Red Hawks,Red Hawks,c20f2f,53585a
teamId_2822,401547000,False,,,,,NONE,,,,,,,,,,2822,401547000,north-greenville-crusaders,North Greenville,Crusaders,N Greenvll,NG,North Greenville Crusaders,Crusaders,d91e39,000000
teamId_2823,401541765,False,,,,,NONE,,,,,,,,,,2823,401541765,northwestern-oklahoma-state-rangers,Northwestern Oklahoma State,Rangers,NW Oklahoma St,NWOS,Northwestern Oklahoma State Rangers,Rangers,000000,
teamId_2825,401540715,False,,,,,NONE,,,,,,,,,,2825,401540715,quincy-hawks,Quincy,Hawks,Quincy,QUI,Quincy Hawks,Hawks,000000,
teamId_2827,401550198,False,,,,,NONE,,,,,,,,,,2827,401550198,rowan-owls,Rowan,Owls,Rowan,ROW,Rowan Owls,Owls,571b04,ffcf06
teamId_2828,401550313,False,,,,,NONE,,,,,,,,,,2828,401550313,shenandoah-hornets,Shenandoah,Hornets,Shenandoah,SHEN,Shenandoah Hornets,Hornets,000000,
teamId_2830,401545797,False,,,,,NONE,,,,,,,,,,2830,401545797,st-anselm-hawks,St. Anselm,Hawks,St Anselm,STA,St. Anselm Hawks,Hawks,000000,
teamId_2832,401549679,False,,,,,NONE,,,,,,,,,,2832,401549679,st-norbert-green-knights,St. Norbert,Green Knights,St. Norbert,STNO,St. Norbert Green Knights,Green Knights,000000,
teamId_2834,401547184,False,,,,,NONE,,,,,,,,,,2834,401547184,sul-ross-state-lobos,Sul Ross State,Lobos,Sul Ross State,SROS,Sul Ross State Lobos,Lobos,000000,
teamId_2837,401540359,False,,,,,NONE,,,,,,,,,,2837,401540359,texas-am-commerce-lions,Texas A&M-Commerce,Lions,Texas A&M-Comm,TAMC,Texas A&M-Commerce Lions,Lions,000000,
teamId_2838,401540977,False,,,,,NONE,,,,,,,,,,2838,401540977,tiffin-dragons,Tiffin,Dragons,Tiffin,TIFF,Tiffin Dragons,Dragons,000000,
teamId_2839,401547018,False,,,,,NONE,,,,,,,,,,2839,401547018,tusculum-pioneers,Tusculum,Pioneers,Tusculum,TUSC,Tusculum Pioneers,Pioneers,f2682a,000000
teamId_2842,401549709,False,,,,,NONE,,,,,,,,,,2842,401549709,uva-wise-highland-cavaliers,UVA Wise,Highland Cavaliers,UVA Wise,UVAW,UVA Wise Highland Cavaliers,Highland Cavaliers,e30000,000000
teamId_2843,401552482,False,,,,,NONE,,,,,,,,,,2843,401552482,western-connecticut-state-wolves,Western Connecticut State,Wolves,W Conn St,WES,Western Connecticut State Wolves,Wolves,002857,ffffff
